,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
98,KALX,Alexander City Thomas C Russell Field,686,32.933334,-85.949997,,,,,,,,,,,,,,KALX,Alexander City Thomas C Russell Field,686,32.933334,-85.949997
99,HEBA,Alexandria Borg El Arab Airport,177,30.91766,29.6964,,,,,,,,,,,,,,HEBA,Alexandria Borg El Arab Airport,177,30.91766,29.6964
100,KAEX,Alexandria International Airport,89,31.32737,-92.5485,,,,,,,,,,,,,,KAEX,Alexandria International Airport,89,31.32737,-92.5485
101,KAXN,Alexandria Municipal Airport,1425,45.867222,-95.394165,,,,,,,,,,,,,,KAXN,Alexandria Municipal Airport,1425,45.867222,-95.394165
102,LGAL,Alexandroupolis International Airport,24,40.855862,25.956261,,,,,,,,,,,,,,LGAL,Alexandroupolis International Airport,24,40.855862,25.956261
103,LEAG,Algeciras Heliport,98,36.128887,-5.441111,,,,,,,,,,,,,,LEAG,Algeciras Heliport,98,36.128887,-5.441111
104,LIEA,Alghero Fertilia Airport,87,40.63213,8.290772,,,,,,,,,,,,,,LIEA,Alghero Fertilia Airport,87,40.63213,8.290772
105,DAAG,Algiers Houari Boumediene Airport,82,36.69101,3.215408,,,,,,,,,,,,,,DAAG,Algiers Houari Boumediene Airport,82,36.69101,3.215408
106,LEAL,Alicante Airport,142,38.282162,-0.55815,,,,,,,,,,,,,,LEAL,Alicante Airport,142,38.282162,-0.55815
107,KALI,Alice International Airport,178,27.740879,-98.026901,,,,,,,,,,,,,,KALI,Alice International Airport,178,27.740879,-98.026901
108,YBAS,Alice Springs Airport,1789,-23.806601,133.902206,,,,,,,,,,,,,,YBAS,Alice Springs Airport,1789,-23.806601,133.902206
109,VEAB,Allahabad Airport,319,25.439886,81.734406,,,,,,,,,,,,,,VEAB,Allahabad Airport,319,25.439886,81.734406
110,PFAL,Allakaket Airport,441,66.551804,-152.621994,,,,,,,,,,,,,,PFAL,Allakaket Airport,441,66.551804,-152.621994
111,EDFQ,Allendorf Airport,1164,51.035713,8.679523,,,,,,,,,,,,,,EDFQ,Allendorf Airport,1164,51.035713,8.679523
112,KABE,Allentown Lehigh Valley International Airport,393,40.652302,-75.440399,,,,,,,,,,,,,,KABE,Allentown Lehigh Valley International Airport,393,40.652302,-75.440399
113,KAIA,Alliance Municipal Airport,3931,42.053219,-102.803001,,,,,,,,,,,,,,KAIA,Alliance Municipal Airport,3931,42.053219,-102.803001
114,CYTF,Alma Airport,434,48.509655,-71.642715,,,,,,,,,,,,,,CYTF,Alma Airport,434,48.509655,-71.642715
115,UAAA,Almaty International Airport,2234,43.35207,77.040497,,,,,,,,,,,,,,UAAA,Almaty International Airport,2234,43.35207,77.040497
116,SNYA,Almeirim Airport,584,-1.479167,-52.578056,,,,,,,,,,,,,,SNYA,Almeirim Airport,584,-1.479167,-52.578056
117,LEAM,Almeria Airport,70,36.843929,-2.37009,,,,,,,,,,,,,,LEAM,Almeria Airport,70,36.843929,-2.37009
118,WATM,Alor Island Airport,10,-8.13234,124.597,,,,,,,,,,,,,,WATM,Alor Island Airport,10,-8.13234,124.597
119,WMKA,Alor Setar Sultan Abdul Halim Airport,15,6.189667,100.398102,,,,,,,,,,,,,,WMKA,Alor Setar Sultan Abdul Halim Airport,15,6.189667,100.398102
120,KAPN,Alpena County Regional Airport,689,45.081669,-83.555832,,,,,,,,,,,,,,KAPN,Alpena County Regional Airport,689,45.081669,-83.555832
121,ENAT,Alta Airport,9,69.976112,23.37166,,,,,,,,,,,,,,ENAT,Alta Airport,9,69.976112,23.37166
122,SBAT,Alta Floresta Airport,947,-9.86609,-56.106201,,,,,,,,,,,,,,SBAT,Alta Floresta Airport,947,-9.86609,-56.106201
123,ZMAT,Altai Airport,7261,46.650002,96.416664,,,,,,,,,,,,,,ZMAT,Altai Airport,7261,46.650002,96.416664
124,SBHT,Altamira Airport,368,-3.2539,-52.253899,,,,,,,,,,,,,,SBHT,Altamira Airport,368,-3.2539,-52.253899
125,ZWAT,Altay Airport,1750,47.750362,88.084442,,,,,,,,,,,,,,ZWAT,Altay Airport,1750,47.750362,88.084442
126,EDAC,Altenburg Nobitz Airport,640,50.981812,12.50636,,,,,,,,,,,,,,EDAC,Altenburg Nobitz Airport,640,50.981812,12.50636
127,ETHA,Altenstadt Air Base,2423,47.835518,10.870574,,,,,,,,,,,,,,ETHA,Altenstadt Air Base,2423,47.835518,10.870574
128,KALN,Alton St. Louis Regional Airport,544,38.890301,-90.045998,,,,,,,,,,,,,,KALN,Alton St. Louis Regional Airport,544,38.890301,-90.045998
129,KAOO,Altoona Blair County Airport,1503,40.296371,-78.32,,,,,,,,,,,,,,KAOO,Altoona Blair County Airport,1503,40.296371,-78.32
130,LPAR,Alverca Airport,5,38.884068,-9.029201,,,,,,,,,,,,,,LPAR,Alverca Airport,5,38.884068,-9.029201
131,ZBAL,Alxa Left Banner Airport,4580,38.747047,105.585693,,,,,,,,,,,,,,ZBAL,Alxa Left Banner Airport,4580,38.747047,105.585693
132,HLZN,Alzintan Airport,2080,31.775,12.25,,,,,,,,,,,,,,HLZN,Alzintan Airport,2080,31.775,12.25
133,RJDA,Amakusa Airport,328,32.483261,130.15564,,,,,,,,,,,,,,RJDA,Amakusa Airport,328,32.483261,130.15564
134,RJKA,Amami Airport,27,28.43063,129.712494,,,,,,,,,,,,,,RJKA,Amami Airport,27,28.43063,129.712494
135,KAMA,Amarillo Rick Husband  International Airport,3607,35.21936,-101.705002,,,,,,,,,,,,,,KAMA,Amarillo Rick Husband  International Airport,3607,35.21936,-101.705002
136,KTDW,Amarillo Tradewind Airport,3649,35.169899,-101.825996,,,,,,,,,,,,,,KTDW,Amarillo Tradewind Airport,3649,35.169899,-101.825996
137,YAMT,Amata Airport,2179,-26.097277,131.202667,,,,,,,,,,,,,,YAMT,Amata Airport,2179,-26.097277,131.202667
138,PAFM,Ambler Airport,289,67.087502,-157.84584,,,,,,,,,,,,,,PAFM,Ambler Airport,289,67.087502,-157.84584
139,WAPP,Ambon Pattimura Airport,33,-3.71026,128.089096,,,,,,,,,,,,,,WAPP,Ambon Pattimura Airport,33,-3.71026,128.089096
140,HKAM,Amboseli Airport,3755,-2.633,37.25,,,,,,,,,,,,,,HKAM,Amboseli Airport,3755,-2.633,37.25
141,KAMW,Ames Municipal Airport,956,41.992001,-93.621803,,,,,,,,,,,,,,KAMW,Ames Municipal Airport,956,41.992001,-93.621803
142,OJAM,Amman Civil Airport,2555,31.9727,35.991562,,,,,,,,,,,,,,OJAM,Amman Civil Airport,2555,31.9727,35.991562
143,OJAI,Amman Queen Alia International Airport,2395,31.722549,35.99321,,,,,,,,,,,,,,OJAI,Amman Queen Alia International Airport,2395,31.722549,35.99321
144,CYEY,Amos Magny Airport,1076,48.564838,-78.249146,,,,,,,,,,,,,,CYEY,Amos Magny Airport,1076,48.564838,-78.249146
145,VIAR,Amritsar International Airport,756,31.709591,74.797256,,,,,,,,,,,,,,VIAR,Amritsar International Airport,756,31.709591,74.797256
146,EHAM,Amsterdam Schiphol Airport,11,52.308609,4.763889,,,,,,,,,,,,,,EHAM,Amsterdam Schiphol Airport,11,52.308609,4.763889
147,NTGA,Anaa Airport,23,-17.353258,-145.509583,,,,,,,,,,,,,,NTGA,Anaa Airport,23,-17.353258,-145.509583
148,UHMA,Anadyr Ugolny Airport,194,64.730003,177.740005,,,,,,,,,,,,,,UHMA,Anadyr Ugolny Airport,194,64.730003,177.740005
149,PAKP,Anaktuvuk Pass Airport,2106,68.129997,-151.740005,,,,,,,,,,,,,,PAKP,Anaktuvuk Pass Airport,2106,68.129997,-151.740005
150,URKA,Anapa Airport,174,45.00209,37.347271,,,,,,,,,,,,,,URKA,Anapa Airport,174,45.00209,37.347271
151,SBAN,Anapolis Airport,3712,-16.22714,-48.963783,,,,,,,,,,,,,,SBAN,Anapolis Airport,3712,-16.22714,-48.963783
152,PAED,Anchorage Elmendorf Air Force Base,213,61.251339,-149.806,,,,,,,,,,,,,,PAED,Anchorage Elmendorf Air Force Base,213,61.251339,-149.806
153,PAMR,Anchorage Merrill Field Airport,137,61.213539,-149.843994,,,,,,,,,,,,,,PAMR,Anchorage Merrill Field Airport,137,61.213539,-149.843994
154,PANC,Anchorage Ted Stevens International Airport,151,61.174358,-149.996002,,,,,,,,,,,,,,PANC,Anchorage Ted Stevens International Airport,151,61.174358,-149.996002
155,LIPY,Ancona Airport,49,43.616341,13.36231,,,,,,,,,,,,,,LIPY,Ancona Airport,49,43.616341,13.36231
156,ENAN,Andenes Andoya Airport,43,69.292503,16.144159,,,,,,,,,,,,,,ENAN,Andenes Andoya Airport,43,69.292503,16.144159
157,KAID,Anderson Municipal Airport,891,40.108665,-85.613815,,,,,,,,,,,,,,KAID,Anderson Municipal Airport,891,40.108665,-85.613815
158,KAND,Anderson Regional Airport,782,34.494579,-82.709297,,,,,,,,,,,,,,KAND,Anderson Regional Airport,782,34.494579,-82.709297
159,UTFA,Andizhan Airport,1515,40.72773,72.294006,,,,,,,,,,,,,,UTFA,Andizhan Airport,1515,40.72773,72.294006
160,LESU,Andorra La Seu de Urgel Airport,2625,42.34058,1.410326,,,,,,,,,,,,,,LESU,Andorra La Seu de Urgel Airport,2625,42.34058,1.410326
161,MYAF,Andros Town International Airport,5,24.69828,-77.795601,,,,,,,,,,,,,,MYAF,Andros Town International Airport,5,24.69828,-77.795601
162,TUPA,Anegada Auguste George Airport,21,18.727394,-64.330055,,,,,,,,,,,,,,TUPA,Anegada Auguste George Airport,21,18.727394,-64.330055
163,RPLC,Angeles City Clark International Airport,484,15.18598,120.560303,,,,,,,,,,,,,,RPLC,Angeles City Clark International Airport,484,15.18598,120.560303
164,ESTA,Angelholm Helsingborg Airport,68,56.29607,12.84713,,,,,,,,,,,,,,ESTA,Angelholm Helsingborg Airport,68,56.29607,12.84713
165,LFJR,Angers Loire Airport,194,47.56028,-0.312222,,,,,,,,,,,,,,LFJR,Angers Loire Airport,194,47.56028,-0.312222
166,EGOV,Anglesey Airport,25,53.250095,-4.539055,,,,,,,,,,,,,,EGOV,Anglesey Airport,25,53.250095,-4.539055
167,KANQ,Angola Tri-State Steuben County Airport,995,41.639702,-85.083504,,,,,,,,,,,,,,KANQ,Angola Tri-State Steuben County Airport,995,41.639702,-85.083504
168,LFBU,Angouleme Cognac International Airport,436,45.729469,0.219153,,,,,,,,,,,,,,LFBU,Angouleme Cognac International Airport,436,45.729469,0.219153
169,SDAG,Angra dos Reis Airport,10,-22.975279,-44.30722,,,,,,,,,,,,,,SDAG,Angra dos Reis Airport,10,-22.975279,-44.30722
170,PANI,Aniak Airport,89,61.581669,-159.54306,,,,,,,,,,,,,,PANI,Aniak Airport,89,61.581669,-159.54306
171,FMCV,Anjouan Ouani Airport,62,-12.1316,44.430271,,,,,,,,,,,,,,FMCV,Anjouan Ouani Airport,62,-12.1316,44.430271
172,ZLAK,Ankang Fuqiang Airport,849,32.708099,108.931046,,,,,,,,,,,,,,ZLAK,Ankang Fuqiang Airport,849,32.708099,108.931046
173,LTAC,Ankara Esenboga International Airport,3125,40.128078,32.995079,,,,,,,,,,,,,,LTAC,Ankara Esenboga International Airport,3125,40.128078,32.995079
174,KIKV,Ankeny Regional Airport,910,41.691113,-93.566391,,,,,,,,,,,,,,KIKV,Ankeny Regional Airport,910,41.691113,-93.566391
175,VYAN,Ann Airport,43,19.770643,94.026405,,,,,,,,,,,,,,VYAN,Ann Airport,43,19.770643,94.026405
176,KARB,Ann Arbor Municipal Airport,839,42.223057,-83.74556,,,,,,,,,,,,,,KARB,Ann Arbor Municipal Airport,839,42.223057,-83.74556
177,DABB,Annaba Rabah Bitat Airport,16,36.82222,7.809167,,,,,,,,,,,,,,DABB,Annaba Rabah Bitat Airport,16,36.82222,7.809167
178,KANP,Annapolis Lee Airport,34,38.942902,-76.568398,,,,,,,,,,,,,,KANP,Annapolis Lee Airport,34,38.942902,-76.568398
179,LFLP,Annecy Mont Blanc Airport,1519,45.930771,6.106289,,,,,,,,,,,,,,LFLP,Annecy Mont Blanc Airport,1519,45.930771,6.106289
180,LFLI,Annemasse Airport,1617,46.19194,6.269444,,,,,,,,,,,,,,LFLI,Annemasse Airport,1617,46.19194,6.269444
181,KANB,Anniston Regional,612,33.588161,-85.858101,,,,,,,,,,,,,,KANB,Anniston Regional,612,33.588161,-85.858101
182,FGAN,Annobon Airport,85,-1.408897,5.62394,,,,,,,,,,,,,,FGAN,Annobon Airport,85,-1.408897,5.62394
183,ZSAQ,Anqing Tianzhushan Airport,-1,30.582222,117.050278,,,,,,,,,,,,,,ZSAQ,Anqing Tianzhushan Airport,-1,30.582222,117.050278
184,ZYAS,Anshan Teng'ao Airport,53,41.103523,122.855835,,,,,,,,,,,,,,ZYAS,Anshan Teng'ao Airport,53,41.103523,122.855835
